0	0	0	0	0	0
5	13	0	0	14	0
10	38	32	32	40	42
15	67	59	56	70	74
20	98	94	86	103	109
25	130	124	117	141	145
30	159	153	145	177	191
35	187	178	172	214	226
40	217	209	200	249	262
45	243	238	233	289	296
50	279	267	260	338	339
55	303	291	285	388	390
60	333	311	311	443	448
65	368	344	340	495	502
70	412	396	392	550	555
75	469	440	440	600	600
80	509	483	480	648	654
85	560	538	535	690	714
90	575	589	589	747	760
95	580	578	574	716	745
100	583	570	565	724	725
